task,method,seed,stage_idx,lambda,iter,alpha_t,beta_t,lr_t,loss_dec,loss_pred,loss_fair,grad_norm_dec,grad_norm_pred,grad_norm_fair,grad_norm_combined,delta_theta_l2,cos_dec_pred,cos_dec_fair,cos_pred_fair,solver_calls,decision_ms,nan_or_inf_flag,nan_or_inf_steps_so_far,exploding_steps_so_far,device,guided_norm_dec,guided_norm_pred,guided_scale,guided_ratio_pred_over_dec,guided_dir_norm,loss_dec_normalized,loss_dec_normalized_pred_obj,mo_grad_norm_decision_regret,mo_grad_norm_pred_fairness,mo_grad_norm_pred_loss,mo_cos_decision_regret_pred_fairness,mo_cos_decision_regret_pred_loss,mo_cos_pred_fairness_pred_loss,direction_alignment_with_dec_regret,stationarity_proxy,mo_pcgrad_n_projections,mo_pcgrad_conflict_fraction,mo_method,mo_mgda_lambda_decision_regret,mo_mgda_lambda_pred_fairness,mo_mgda_lambda_pred_loss,mo_mgda_min_norm
medical_resource_allocation,fpto,11,0,0.0,0,1.0,0.0,0.0005,1669.9641156679836,396.54389311836314,0.01633180390103417,1e-06,20.013496820611348,0.0006862424399230224,20.013496820611348,0.010006748410305659,0.0,0.0,-0.09608721809624904,2,4.559900000458583,0,0,0,cpu,,,,,,0.28309860101683715,0.22063666875833673,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,5,1.0,0.0,0.0004987531172069826,1641.6182099457983,395.49137495008483,0.016334365116981275,1e-06,21.192759509228225,0.0007434248703899218,21.192759509228225,0.010569954867445485,0.0,0.0,-0.0415792883133878,2,3.6958999990019947,0,0,0,cpu,,,,,,0.2782932964122553,0.21770691999506853,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,10,1.0,0.0,0.0004975124378109454,1613.69228589657,394.3056854316321,0.016334939434611728,1e-06,22.622870212178597,0.0008212290983322697,22.622870212178597,0.011255159309541584,0.0,0.0,0.019851891862772055,2,5.1671000037458725,0,0,0,cpu,,,,,,0.2735591886812777,0.2147989595713552,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,15,1.0,0.0,0.0004962779156327543,1585.5247650796127,392.946961331082,0.016332099729908567,1e-06,24.368008592040894,0.0009355394678168552,24.368008592040894,0.01209330451217909,0.0,0.0,0.09463806007534772,2,4.433800000697374,0,0,0,cpu,,,,,,0.26878412455709827,0.21184385850581497,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,20,1.0,0.0,0.0004950495049504951,1556.4127820751291,391.359238471531,0.01632381189825194,1e-06,26.533372855244888,0.0010856007411500315,26.533372855244888,0.01313533309665587,0.0,0.0,0.17006342378777514,2,8.249999998952262,0,0,0,cpu,,,,,,0.2638489516488477,0.20876620683557479,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,25,1.0,0.0,0.0004938271604938272,1525.5468689487207,389.45846959176436,0.01630691375613902,1e-06,29.28155961291455,0.001293798845888463,29.28155961291455,0.01446002943847631,0.0,0.0,0.2468803074418195,2,7.8874000028008595,0,0,0,cpu,,,,,,0.25861644590623284,0.20547677312449467,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,30,1.0,0.0,0.0004926108374384237,1492.0609238676943,387.1177191418947,0.016276548687378933,1e-06,32.80660751999352,0.0015690886996184573,32.80660751999352,0.016160890403937686,0.0,0.0,0.316839632884555,2,3.699399996548891,0,0,0,cpu,,,,,,0.25293978248740645,0.2018770463056542,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,35,1.0,0.0,0.0004914004914004914,1455.044462101433,384.13899077068425,0.016224647186583785,1e-06,37.39483421377098,0.0019486429415752893,37.39483421377098,0.018375839908486954,0.0,0.0,0.38141830991297826,2,3.713399994012434,0,0,0,cpu,,,,,,0.24666461259465094,0.19785964091919978,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,40,1.0,0.0,0.0004901960784313725,1413.8361042932293,380.2130847212962,0.01613679565938586,1e-06,43.37764435138278,0.0024566121289504414,43.37764435138278,0.021263551152638605,0.0,0.0,0.4391268085936489,2,4.932099996949546,0,0,0,cpu,,,,,,0.23967881671062538,0.19333944686301188,,,,,,,,,,,,,,,
medical_resource_allocation,fpto,11,0,0.0,45,1.0,0.0,0.000488997555012225,1368.346966349367,374.85905278897434,0.01599084494470826,1e-06,51.173988657173226,0.003131406887859765,51.173988657173226,0.02502395533358104,0.0,0.0,0.48642023404178075,2,5.070300001534633,0,0,0,cpu,,,,,,0.2319673268692894,0.18829016144346244,,,,,,,,,,,,,,,
